source_vintage,source_hs8,hs8_2022,match_type
2017,03043901,03043901,identity
2017,03044100,03044100,identity
2017,03044200,03044200,identity
2017,03044300,03044300,identity
2017,03044400,03044400,identity
2017,03044500,03044500,identity
2017,03044600,03044600,identity
2017,03044700,03044700,identity
2017,03044800,03044800,identity
2017,03044901,03044901,identity
2017,03045101,03045101,identity
2017,03045200,03045200,identity
2017,03045300,03045300,identity
2017,03045400,03045400,identity
2017,03045500,03045500,identity
2017,03045600,03045600,identity
2017,03045700,03045700,identity
2017,03045951,03045951,identity
2017,03046100,03046100,identity
2017,03046200,03046200,identity
2017,03046300,03046300,identity
2017,03046901,03046901,identity
2017,03047100,03047100,identity
2017,03047200,03047200,identity
2017,03047300,03047300,identity
2017,03047400,03047400,identity
2017,03047500,03047500,identity
2017,03047900,03047900,identity
2017,03048100,03048100,identity
2017,03048200,03048200,identity
2017,03048300,03048300,identity
2017,03048400,03048400,identity
2017,03048500,03048500,identity
2017,03048600,03048600,identity
2017,03048700,03048700,identity
2017,03048800,03048800,identity
2017,03048901,03048901,identity
2017,03049105,03049105,identity
2017,03049206,03049206,identity
2017,03049301,03049301,identity
2017,03049400,03049400,identity
2017,03049500,03049500,identity
2017,03049600,03049600,identity
2017,03049700,03049700,identity
2017,03049901,03049901,identity
2017,03051001,03091010,concordance
2017,03052000,03052000,identity
2017,03053101,03053101,identity
2017,03053200,03053200,identity
2017,03053901,03053901,identity
2017,03054110,03054110,identity
2017,03054220,03054220,identity
2017,03054330,03054330,identity
2017,03054441,03054441,identity
2017,03054951,03054951,identity
2017,03055110,03055110,identity
2017,03055200,03055200,identity
2017,03055300,03055300,identity
2017,03055400,03055400,identity
2017,03055910,03055910,identity
2017,03055992,03055992,identity
2017,03056101,03056101,identity
2017,03056202,03056202,identity
2017,03056303,03056303,identity
2017,03056405,03056405,identity
2017,03056951,03056951,identity
2017,03057100,03057100,identity
2017,03057200,03057200,identity
2017,03057950,03057950,identity
2017,03061131,03061131,identity
2017,03061132,03061132,identity
2017,03061133,03061133,identity
2017,03061150,03061150,identity
2017,03061191,03061191,identity
2017,03061218,03061218,identity
2017,03061419,03061419,identity
2017,03061520,03061520,identity
2017,03061621,03061621,identity
2017,03061750,03061750,identity
2017,03061960,03061961,concordance_split
2017,03061960,03099090,concordance_split
2017,03063100,03063100,identity
2017,03063200,03063200,identity
2017,03063300,03063300,identity
2017,03063400,03063400,identity
2017,03063500,03063500,identity
2017,03063600,03063600,identity
2017,03063900,03063990,concordance_split
2017,03063900,03099090,concordance_split
2017,03069100,03069100,identity
2017,03069200,03069200,identity
2017,03069300,03069300,identity
2017,03069400,03069400,identity
2017,03069500,03069500,identity
2017,03069900,03069990,concordance_split
2017,03069900,03099090,concordance_split
