category_code,category_description,category_hierarchy,hs8
01051400,Geese,Export Statistical Item,01051400
010515,Guinea fowls,HS Code,01051500
01051500,Guinea fowls,Export Statistical Item,01051500
01059,Other:,HS Code,01059410
01059,Other:,HS Code,01059900
010594,Fowls of the species Gallus domesticus,HS Code,01059410
01059410,Fowls of the species Gallus domesticus,Export Statistical Item,01059410
010599,Other,HS Code,01059900
01059900,Other,Export Statistical Item,01059900
0106,OTHER LIVE ANIMALS:,Heading,01061100
0106,OTHER LIVE ANIMALS:,Heading,01061204
0106,OTHER LIVE ANIMALS:,Heading,01061300
0106,OTHER LIVE ANIMALS:,Heading,01061400
0106,OTHER LIVE ANIMALS:,Heading,01061943
0106,OTHER LIVE ANIMALS:,Heading,01061995
0106,OTHER LIVE ANIMALS:,Heading,01062050
0106,OTHER LIVE ANIMALS:,Heading,01062097
0106,OTHER LIVE ANIMALS:,Heading,01063111
0106,OTHER LIVE ANIMALS:,Heading,01063196
0106,OTHER LIVE ANIMALS:,Heading,01063230
0106,OTHER LIVE ANIMALS:,Heading,01063290
0106,OTHER LIVE ANIMALS:,Heading,01063300
0106,OTHER LIVE ANIMALS:,Heading,01063943
0106,OTHER LIVE ANIMALS:,Heading,01063992
0106,OTHER LIVE ANIMALS:,Heading,01064100
0106,OTHER LIVE ANIMALS:,Heading,01064900
0106,OTHER LIVE ANIMALS:,Heading,01069063
0106,OTHER LIVE ANIMALS:,Heading,01069091
01061,Mammals:,HS Code,01061100
01061,Mammals:,HS Code,01061204
01061,Mammals:,HS Code,01061300
01061,Mammals:,HS Code,01061400
01061,Mammals:,HS Code,01061943
01061,Mammals:,HS Code,01061995
010611,Primates,HS Code,01061100
01061100,Primates,Export Statistical Item,01061100
010612,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",HS Code,01061204
01061204,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",Export Statistical Item,01061204
010613,Camels and other camelids (Camelidae),HS Code,01061300
01061300,Camels and other camelids (Camelidae),Export Statistical Item,01061300
010614,Rabbits and hares,HS Code,01061400
01061400,Rabbits and hares,Export Statistical Item,01061400
010619,Other:,HS Code,01061943
010619,Other:,HS Code,01061995
01061943,Australian endemic mammals,Export Statistical Item,01061943
01061995,Other,Export Statistical Item,01061995
010620,Reptiles (including snakes and turtles):,HS Code,01062050
010620,Reptiles (including snakes and turtles):,HS Code,01062097
01062050,Australian endemic reptiles,Export Statistical Item,01062050
01062097,Other,Export Statistical Item,01062097
01063,Birds:,HS Code,01063111
01063,Birds:,HS Code,01063196
01063,Birds:,HS Code,01063230
01063,Birds:,HS Code,01063290
01063,Birds:,HS Code,01063300
01063,Birds:,HS Code,01063943
01063,Birds:,HS Code,01063992
010631,Birds of prey:,HS Code,01063111
010631,Birds of prey:,HS Code,01063196
01063111,Australian endemic birds of prey,Export Statistical Item,01063111
01063196,Other,Export Statistical Item,01063196
010632,"Psittaciformes (including parrots, parakeets, macaws and cockatoos):",HS Code,01063230
010632,"Psittaciformes (including parrots, parakeets, macaws and cockatoos):",HS Code,01063290
01063230,Australian endemic birds,Export Statistical Item,01063230
01063290,Other,Export Statistical Item,01063290
010633,Ostriches; emus (Dromaius novaehollandiae),HS Code,01063300
01063300,Ostriches; emus (Dromaius novaehollandiae),Export Statistical Item,01063300
010639,Other:,HS Code,01063943
010639,Other:,HS Code,01063992
01063943,Australian endemic birds,Export Statistical Item,01063943
01063992,Other,Export Statistical Item,01063992
01064,Insects:,HS Code,01064100
01064,Insects:,HS Code,01064900
010641,Bees,HS Code,01064100
01064100,Bees,Export Statistical Item,01064100
010649,Other,HS Code,01064900
01064900,Other,Export Statistical Item,01064900
010690,Other:,HS Code,01069063
010690,Other:,HS Code,01069091
01069063,Australian endemic animals,Export Statistical Item,01069063
01069091,Other,Export Statistical Item,01069091
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02011040
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02012035
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02012090
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02013011
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02013013
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02013019
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02013090
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02021045
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02022011
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02022019
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02022090
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02023011
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02023013
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02023019
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02023040
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02031100
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02031200
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02031900
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02032100
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02032200
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02032900
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02041000
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02042100
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02042210
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02042220
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02042310
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02042320
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02043000
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02044100
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02044210
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02044220
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02044310
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02044320
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02045000
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02050000
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02061000
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02062100
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02062200
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02062900
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02063000
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02064100
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02064900
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02068000
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02069000
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02071100
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02071200
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02071300
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02071400
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02072400
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02072500
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02072600
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02072700
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02074110
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02074220
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02074330
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02074400
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02074500
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02075100
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02075200
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02075300
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02075400
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02075500
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02076000
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02081000
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02083000
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02084010
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02085005
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02086020
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02089011
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02089050
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02091000
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02099090
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02101100
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02101200
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02101900
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02102000
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02109100
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02109210
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02109305
02,MEAT AND EDIBLE MEAT OFFAL,Chapter,02109940
0201,"MEAT OF BOVINE ANIMALS, FRESH OR CHILLED:",Heading,02011040
0201,"MEAT OF BOVINE ANIMALS, FRESH OR CHILLED:",Heading,02012035
0201,"MEAT OF BOVINE ANIMALS, FRESH OR CHILLED:",Heading,02012090
0201,"MEAT OF BOVINE ANIMALS, FRESH OR CHILLED:",Heading,02013011
0201,"MEAT OF BOVINE ANIMALS, FRESH OR CHILLED:",Heading,02013013
0201,"MEAT OF BOVINE ANIMALS, FRESH OR CHILLED:",Heading,02013019
0201,"MEAT OF BOVINE ANIMALS, FRESH OR CHILLED:",Heading,02013090
020110,Carcasses and half-carcasses,HS Code,02011040
02011040,Carcasses and half-carcasses,Export Statistical Item,02011040
020120,Other cuts with bone in:,HS Code,02012035
020120,Other cuts with bone in:,HS Code,02012090
02012035,Beef,Export Statistical Item,02012035
02012090,Other,Export Statistical Item,02012090
020130,Boneless:,HS Code,02013011
020130,Boneless:,HS Code,02013013
020130,Boneless:,HS Code,02013019
020130,Boneless:,HS Code,02013090
0201301,Beef:,Export Statistical Item,02013011
0201301,Beef:,Export Statistical Item,02013013
0201301,Beef:,Export Statistical Item,02013019
0201301,Beef:,Export Statistical Item,02013090
02013011,"Hindquarter cuts, forequarter cuts, crops (excluding briskets)",Export Statistical Item,02013011
02013013,"Primal cuts (e.g., rumps, strips, loins, etc)",Export Statistical Item,02013013
02013019,Other,Export Statistical Item,02013019
02013090,Other,Export Statistical Item,02013090
0202,"MEAT OF BOVINE ANIMALS, FROZEN:",Heading,02021045
0202,"MEAT OF BOVINE ANIMALS, FROZEN:",Heading,02022011
0202,"MEAT OF BOVINE ANIMALS, FROZEN:",Heading,02022019
0202,"MEAT OF BOVINE ANIMALS, FROZEN:",Heading,02022090
0202,"MEAT OF BOVINE ANIMALS, FROZEN:",Heading,02023011
0202,"MEAT OF BOVINE ANIMALS, FROZEN:",Heading,02023013
0202,"MEAT OF BOVINE ANIMALS, FROZEN:",Heading,02023019
0202,"MEAT OF BOVINE ANIMALS, FROZEN:",Heading,02023040
020210,Carcasses and half-carcasses,HS Code,02021045
02021045,Carcasses and half-carcasses,Export Statistical Item,02021045
020220,Other cuts with bone in:,HS Code,02022011
020220,Other cuts with bone in:,HS Code,02022019
020220,Other cuts with bone in:,HS Code,02022090
0202201,Beef:,Export Statistical Item,02022011
0202201,Beef:,Export Statistical Item,02022019
0202201,Beef:,Export Statistical Item,02022090
02022011,"Hindquarters, forequarters",Export Statistical Item,02022011
02022019,Other,Export Statistical Item,02022019
02022090,Other,Export Statistical Item,02022090
020230,Boneless:,HS Code,02023011
020230,Boneless:,HS Code,02023013
020230,Boneless:,HS Code,02023019
020230,Boneless:,HS Code,02023040
0202301,Beef:,Export Statistical Item,02023011
0202301,Beef:,Export Statistical Item,02023013
0202301,Beef:,Export Statistical Item,02023019
0202301,Beef:,Export Statistical Item,02023040
02023011,"Hindquarter cuts, forequarter cuts, crops (excluding briskets)",Export Statistical Item,02023011
02023013,"Primal cuts (e.g., rumps, strips, loins, etc)",Export Statistical Item,02023013
02023019,Other (including manufacturing and briskets),Export Statistical Item,02023019
02023040,Other,Export Statistical Item,02023040
0203,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN:",Heading,02031100
0203,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN:",Heading,02031200
0203,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN:",Heading,02031900
0203,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN:",Heading,02032100
0203,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN:",Heading,02032200
0203,"MEAT OF SWINE, FRESH, CHILLED OR FROZEN:",Heading,02032900
02031,Fresh or chilled:,HS Code,02031100
02031,Fresh or chilled:,HS Code,02031200
02031,Fresh or chilled:,HS Code,02031900
020311,Carcasses and half-carcasses,HS Code,02031100
02031100,Carcasses and half-carcasses,Export Statistical Item,02031100
020312,"Hams, shoulders and cuts thereof, with bone in",HS Code,02031200
02031200,"Hams, shoulders and cuts thereof, with bone in",Export Statistical Item,02031200
020319,Other,HS Code,02031900
02031900,Other,Export Statistical Item,02031900
02032,Frozen:,HS Code,02032100
02032,Frozen:,HS Code,02032200
02032,Frozen:,HS Code,02032900
020321,Carcasses and half-carcasses,HS Code,02032100
02032100,Carcasses and half-carcasses,Export Statistical Item,02032100
020322,"Hams, shoulders and cuts thereof, with bone in",HS Code,02032200
02032200,"Hams, shoulders and cuts thereof, with bone in",Export Statistical Item,02032200
020329,Other,HS Code,02032900
02032900,Other,Export Statistical Item,02032900
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN:",Heading,02041000
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN:",Heading,02042100
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN:",Heading,02042210
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN:",Heading,02042220
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN:",Heading,02042310
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN:",Heading,02042320
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN:",Heading,02043000
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN:",Heading,02044100
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN:",Heading,02044210
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN:",Heading,02044220
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN:",Heading,02044310
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN:",Heading,02044320
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN:",Heading,02045000
020410,"Carcasses and half-carcasses of lamb, fresh or chilled",HS Code,02041000
02041000,"Carcasses and half-carcasses of lamb, fresh or chilled",Export Statistical Item,02041000
02042,"Other meat of sheep, fresh or chilled:",HS Code,02042100
02042,"Other meat of sheep, fresh or chilled:",HS Code,02042210
02042,"Other meat of sheep, fresh or chilled:",HS Code,02042220
02042,"Other meat of sheep, fresh or chilled:",HS Code,02042310
02042,"Other meat of sheep, fresh or chilled:",HS Code,02042320
020421,Carcasses and half-carcasses,HS Code,02042100
02042100,Carcasses and half-carcasses,Export Statistical Item,02042100
020422,Other cuts with bone in:,HS Code,02042210
020422,Other cuts with bone in:,HS Code,02042220
02042210,Lamb,Export Statistical Item,02042210
02042220,Mutton,Export Statistical Item,02042220
020423,Boneless:,HS Code,02042310
020423,Boneless:,HS Code,02042320
02042310,Lamb,Export Statistical Item,02042310
02042320,Mutton,Export Statistical Item,02042320
020430,"Carcasses and half-carcasses of lamb, frozen",HS Code,02043000
