category_code,category_description,category_hierarchy,hs8
3003,"MEDICAMENTS (EXCLUDING GOODS OF 3002, 3005 OR 3006) CONSISTING OF TWO OR MORE CONSTITUENTS WHICH HAVE BEEN MIXED TOGETHER FOR THERAPEUTIC OR PROPHYLACTIC USES, NOT PUT UP IN MEASURED DOSES OR IN FORMS OR PACKINGS FOR RETAIL SALE:",Heading,30034043
3003,"MEDICAMENTS (EXCLUDING GOODS OF 3002, 3005 OR 3006) CONSISTING OF TWO OR MORE CONSTITUENTS WHICH HAVE BEEN MIXED TOGETHER FOR THERAPEUTIC OR PROPHYLACTIC USES, NOT PUT UP IN MEASURED DOSES OR IN FORMS OR PACKINGS FOR RETAIL SALE:",Heading,30039011
3003,"MEDICAMENTS (EXCLUDING GOODS OF 3002, 3005 OR 3006) CONSISTING OF TWO OR MORE CONSTITUENTS WHICH HAVE BEEN MIXED TOGETHER FOR THERAPEUTIC OR PROPHYLACTIC USES, NOT PUT UP IN MEASURED DOSES OR IN FORMS OR PACKINGS FOR RETAIL SALE:",Heading,30039092
300310,"Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",HS Code,30031008
30031008,"Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",Export Statistical Item,30031008
300320,Containing other antibiotics:,HS Code,30032009
300320,Containing other antibiotics:,HS Code,30032098
30032009,Preparations for veterinary use only,Export Statistical Item,30032009
30032098,Other,Export Statistical Item,30032098
30033,Containing hormones or other products of 2937 but not containing antibiotics:,HS Code,30033120
30033,Containing hormones or other products of 2937 but not containing antibiotics:,HS Code,30033921
300331,Containing insulin,HS Code,30033120
30033120,Containing insulin,Export Statistical Item,30033120
300339,Other,HS Code,30033921
30033921,Other,Export Statistical Item,30033921
300340,Containing alkaloids or derivatives thereof but not containing hormones or other products of 2937 or antibiotics,HS Code,30034040
300340,Containing alkaloids or derivatives thereof but not containing hormones or other products of 2937 or antibiotics,HS Code,30034041
300340,Containing alkaloids or derivatives thereof but not containing hormones or other products of 2937 or antibiotics,HS Code,30034042
300340,Containing alkaloids or derivatives thereof but not containing hormones or other products of 2937 or antibiotics,HS Code,30034043
30034040,Containing ephedrine or its salts,Export Statistical Item,30034040
30034041,Containing pseudoephedrine (INN) or its salts,Export Statistical Item,30034041
30034042,Containing norephedrine or its salts,Export Statistical Item,30034042
30034043,Other,Export Statistical Item,30034043
300390,Other:,HS Code,30039011
300390,Other:,HS Code,30039092
30039011,For veterinary use only,Export Statistical Item,30039011
30039092,Other,Export Statistical Item,30039092
3004,"MEDICAMENTS (EXCLUDING GOODS OF 3002, 3005 OR 3006) CONSISTING OF MIXED OR UNMIXED PRODUCTS FOR THERAPEUTIC OR PROPHYLACTIC USES, PUT UP IN MEASURED DOSES (INCLUDING THOSE IN THE FORM OF TRANSDERMAL ADMINISTRATION SYSTEMS) OR IN FORMS OR PACKINGS FOR RETAIL SALE:",Heading,30041012
3004,"MEDICAMENTS (EXCLUDING GOODS OF 3002, 3005 OR 3006) CONSISTING OF MIXED OR UNMIXED PRODUCTS FOR THERAPEUTIC OR PROPHYLACTIC USES, PUT UP IN MEASURED DOSES (INCLUDING THOSE IN THE FORM OF TRANSDERMAL ADMINISTRATION SYSTEMS) OR IN FORMS OR PACKINGS FOR RETAIL SALE:",Heading,30042013
3004,"MEDICAMENTS (EXCLUDING GOODS OF 3002, 3005 OR 3006) CONSISTING OF MIXED OR UNMIXED PRODUCTS FOR THERAPEUTIC OR PROPHYLACTIC USES, PUT UP IN MEASURED DOSES (INCLUDING THOSE IN THE FORM OF TRANSDERMAL ADMINISTRATION SYSTEMS) OR IN FORMS OR PACKINGS FOR RETAIL SALE:",Heading,30043114
3004,"MEDICAMENTS (EXCLUDING GOODS OF 3002, 3005 OR 3006) CONSISTING OF MIXED OR UNMIXED PRODUCTS FOR THERAPEUTIC OR PROPHYLACTIC USES, PUT UP IN MEASURED DOSES (INCLUDING THOSE IN THE FORM OF TRANSDERMAL ADMINISTRATION SYSTEMS) OR IN FORMS OR PACKINGS FOR RETAIL SALE:",Heading,30043215
3004,"MEDICAMENTS (EXCLUDING GOODS OF 3002, 3005 OR 3006) CONSISTING OF MIXED OR UNMIXED PRODUCTS FOR THERAPEUTIC OR PROPHYLACTIC USES, PUT UP IN MEASURED DOSES (INCLUDING THOSE IN THE FORM OF TRANSDERMAL ADMINISTRATION SYSTEMS) OR IN FORMS OR PACKINGS FOR RETAIL SALE:",Heading,30043916
3004,"MEDICAMENTS (EXCLUDING GOODS OF 3002, 3005 OR 3006) CONSISTING OF MIXED OR UNMIXED PRODUCTS FOR THERAPEUTIC OR PROPHYLACTIC USES, PUT UP IN MEASURED DOSES (INCLUDING THOSE IN THE FORM OF TRANSDERMAL ADMINISTRATION SYSTEMS) OR IN FORMS OR PACKINGS FOR RETAIL SALE:",Heading,30044044
3004,"MEDICAMENTS (EXCLUDING GOODS OF 3002, 3005 OR 3006) CONSISTING OF MIXED OR UNMIXED PRODUCTS FOR THERAPEUTIC OR PROPHYLACTIC USES, PUT UP IN MEASURED DOSES (INCLUDING THOSE IN THE FORM OF TRANSDERMAL ADMINISTRATION SYSTEMS) OR IN FORMS OR PACKINGS FOR RETAIL SALE:",Heading,30044045
3004,"MEDICAMENTS (EXCLUDING GOODS OF 3002, 3005 OR 3006) CONSISTING OF MIXED OR UNMIXED PRODUCTS FOR THERAPEUTIC OR PROPHYLACTIC USES, PUT UP IN MEASURED DOSES (INCLUDING THOSE IN THE FORM OF TRANSDERMAL ADMINISTRATION SYSTEMS) OR IN FORMS OR PACKINGS FOR RETAIL SALE:",Heading,30044046
3004,"MEDICAMENTS (EXCLUDING GOODS OF 3002, 3005 OR 3006) CONSISTING OF MIXED OR UNMIXED PRODUCTS FOR THERAPEUTIC OR PROPHYLACTIC USES, PUT UP IN MEASURED DOSES (INCLUDING THOSE IN THE FORM OF TRANSDERMAL ADMINISTRATION SYSTEMS) OR IN FORMS OR PACKINGS FOR RETAIL SALE:",Heading,30044047
3004,"MEDICAMENTS (EXCLUDING GOODS OF 3002, 3005 OR 3006) CONSISTING OF MIXED OR UNMIXED PRODUCTS FOR THERAPEUTIC OR PROPHYLACTIC USES, PUT UP IN MEASURED DOSES (INCLUDING THOSE IN THE FORM OF TRANSDERMAL ADMINISTRATION SYSTEMS) OR IN FORMS OR PACKINGS FOR RETAIL SALE:",Heading,30045018
3004,"MEDICAMENTS (EXCLUDING GOODS OF 3002, 3005 OR 3006) CONSISTING OF MIXED OR UNMIXED PRODUCTS FOR THERAPEUTIC OR PROPHYLACTIC USES, PUT UP IN MEASURED DOSES (INCLUDING THOSE IN THE FORM OF TRANSDERMAL ADMINISTRATION SYSTEMS) OR IN FORMS OR PACKINGS FOR RETAIL SALE:",Heading,30049091
300410,"Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",HS Code,30041012
30041012,"Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",Export Statistical Item,30041012
300420,Containing other antibiotics,HS Code,30042013
30042013,Containing other antibiotics,Export Statistical Item,30042013
30043,Containing hormones or other products of 2937 but not containing antibiotics:,HS Code,30043114
30043,Containing hormones or other products of 2937 but not containing antibiotics:,HS Code,30043215
30043,Containing hormones or other products of 2937 but not containing antibiotics:,HS Code,30043916
300431,Containing insulin,HS Code,30043114
30043114,Containing insulin,Export Statistical Item,30043114
300432,"Containing adrenal corticosteroid hormones, their derivatives or structural analogues",HS Code,30043215
30043215,"Containing adrenal corticosteroid hormones, their derivatives or structural analogues",Export Statistical Item,30043215
300439,Other,HS Code,30043916
30043916,Other,Export Statistical Item,30043916
300440,"Containing alkaloids or derivatives thereof but not containing hormones, other products of 2937 or antibiotics",HS Code,30044044
300440,"Containing alkaloids or derivatives thereof but not containing hormones, other products of 2937 or antibiotics",HS Code,30044045
300440,"Containing alkaloids or derivatives thereof but not containing hormones, other products of 2937 or antibiotics",HS Code,30044046
300440,"Containing alkaloids or derivatives thereof but not containing hormones, other products of 2937 or antibiotics",HS Code,30044047
30044044,Containing ephedrine or its salts,Export Statistical Item,30044044
30044045,Containing pseudoephedrine (INN) or its salts,Export Statistical Item,30044045
30044046,Containing norephedrine or its salts,Export Statistical Item,30044046
30044047,Other,Export Statistical Item,30044047
300450,Other medicaments containing vitamins or other products of 2936,HS Code,30045018
30045018,Other medicaments containing vitamins or other products of 2936,Export Statistical Item,30045018
300490,Other,HS Code,30049091
30049091,Other,Export Statistical Item,30049091
3005,"WADDING, GAUZE, BANDAGES AND SIMILAR ARTICLES (FOR EXAMPLE, DRESSINGS, ADHESIVE PLASTERS, POULTICES), IMPREGNATED OR COATED WITH PHARMACEUTICAL SUBSTANCES OR PUT UP IN FORMS OR PACKINGS FOR RETAIL SALE FOR MEDICAL, SURGICAL, DENTAL OR VETERINARY PURPOSES:",Heading,30051032
3005,"WADDING, GAUZE, BANDAGES AND SIMILAR ARTICLES (FOR EXAMPLE, DRESSINGS, ADHESIVE PLASTERS, POULTICES), IMPREGNATED OR COATED WITH PHARMACEUTICAL SUBSTANCES OR PUT UP IN FORMS OR PACKINGS FOR RETAIL SALE FOR MEDICAL, SURGICAL, DENTAL OR VETERINARY PURPOSES:",Heading,30059092
300510,Adhesive dressings and other articles having an adhesive layer,HS Code,30051032
30051032,Adhesive dressings and other articles having an adhesive layer,Export Statistical Item,30051032
300590,Other,HS Code,30059092
30059092,Other,Export Statistical Item,30059092
3006,PHARMACEUTICAL GOODS SPECIFIED IN NOTE 4 TO THIS CHAPTER:,Heading,30061030
3006,PHARMACEUTICAL GOODS SPECIFIED IN NOTE 4 TO THIS CHAPTER:,Heading,30062001
3006,PHARMACEUTICAL GOODS SPECIFIED IN NOTE 4 TO THIS CHAPTER:,Heading,30063025
3006,PHARMACEUTICAL GOODS SPECIFIED IN NOTE 4 TO THIS CHAPTER:,Heading,30064035
3006,PHARMACEUTICAL GOODS SPECIFIED IN NOTE 4 TO THIS CHAPTER:,Heading,30065045
3006,PHARMACEUTICAL GOODS SPECIFIED IN NOTE 4 TO THIS CHAPTER:,Heading,30066055
3006,PHARMACEUTICAL GOODS SPECIFIED IN NOTE 4 TO THIS CHAPTER:,Heading,30067000
3006,PHARMACEUTICAL GOODS SPECIFIED IN NOTE 4 TO THIS CHAPTER:,Heading,30069105
3006,PHARMACEUTICAL GOODS SPECIFIED IN NOTE 4 TO THIS CHAPTER:,Heading,30069206
300610,"Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarn) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",HS Code,30061030
30061030,"Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarn) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",Export Statistical Item,30061030
300620,Blood-grouping reagents,HS Code,30062001
30062001,Blood-grouping reagents,Export Statistical Item,30062001
300630,Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,HS Code,30063025
30063025,Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,Export Statistical Item,30063025
300640,Dental cements and other dental fillings; bone reconstruction cements,HS Code,30064035
30064035,Dental cements and other dental fillings; bone reconstruction cements,Export Statistical Item,30064035
300650,First-aid boxes and kits,HS Code,30065045
30065045,First-aid boxes and kits,Export Statistical Item,30065045
300660,"Chemical contraceptive preparations based on hormones, on other products of 2937 or on spermicides",HS Code,30066055
30066055,"Chemical contraceptive preparations based on hormones, on other products of 2937 or on spermicides",Export Statistical Item,30066055
300670,Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,HS Code,30067000
30067000,Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,Export Statistical Item,30067000
30069,Other:,HS Code,30069105
30069,Other:,HS Code,30069206
300691,Appliances identifiable for ostomy use,HS Code,30069105
30069105,Appliances identifiable for ostomy use,Export Statistical Item,30069105
300692,Waste pharmaceuticals,HS Code,30069206
30069206,Waste pharmaceuticals,Export Statistical Item,30069206
31,FERTILISERS,Chapter,31010000
31,FERTILISERS,Chapter,31021000
31,FERTILISERS,Chapter,31022100
31,FERTILISERS,Chapter,31022900
31,FERTILISERS,Chapter,31023000
31,FERTILISERS,Chapter,31024000
31,FERTILISERS,Chapter,31025000
31,FERTILISERS,Chapter,31026000
31,FERTILISERS,Chapter,31028000
31,FERTILISERS,Chapter,31029020
31,FERTILISERS,Chapter,31031000
31,FERTILISERS,Chapter,31039020
31,FERTILISERS,Chapter,31042000
31,FERTILISERS,Chapter,31043000
31,FERTILISERS,Chapter,31049096
31,FERTILISERS,Chapter,31051000
31,FERTILISERS,Chapter,31052000
31,FERTILISERS,Chapter,31053000
31,FERTILISERS,Chapter,31054000
31,FERTILISERS,Chapter,31055100
31,FERTILISERS,Chapter,31055900
31,FERTILISERS,Chapter,31056000
31,FERTILISERS,Chapter,31059000
3101,"ANIMAL OR VEGETABLE FERTILISERS, WHETHER OR NOT MIXED TOGETHER OR CHEMICALLY TREATED; FERTILISERS PRODUCED BY THE MIXING OR CHEMICAL TREATMENT OF ANIMAL OR VEGETABLE PRODUCTS",Heading,31010000
310100,"ANIMAL OR VEGETABLE FERTILISERS, WHETHER OR NOT MIXED TOGETHER OR CHEMICALLY TREATED; FERTILISERS PRODUCED BY THE MIXING OR CHEMICAL TREATMENT OF ANIMAL OR VEGETABLE PRODUCTS",HS Code,31010000
31010000,"ANIMAL OR VEGETABLE FERTILISERS, WHETHER OR NOT MIXED TOGETHER OR CHEMICALLY TREATED; FERTILISERS PRODUCED BY THE MIXING OR CHEMICAL TREATMENT OF ANIMAL OR VEGETABLE PRODUCTS",Export Statistical Item,31010000
3102,"MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS:",Heading,31021000
3102,"MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS:",Heading,31022100
3102,"MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS:",Heading,31022900
3102,"MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS:",Heading,31023000
3102,"MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS:",Heading,31024000
3102,"MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS:",Heading,31025000
3102,"MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS:",Heading,31026000
3102,"MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS:",Heading,31028000
3102,"MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS:",Heading,31029020
310210,"Urea, whether or not in aqueous solution",HS Code,31021000
31021000,"Urea, whether or not in aqueous solution",Export Statistical Item,31021000
31022,Ammonium sulphate; double salts and mixtures of ammonium sulphate and ammonium nitrate:,HS Code,31022100
31022,Ammonium sulphate; double salts and mixtures of ammonium sulphate and ammonium nitrate:,HS Code,31022900
310221,Ammonium sulphate,HS Code,31022100
31022100,Ammonium sulphate,Export Statistical Item,31022100
310229,Other,HS Code,31022900
31022900,Other,Export Statistical Item,31022900
310230,"Ammonium nitrate, whether or not in aqueous solution",HS Code,31023000
31023000,"Ammonium nitrate, whether or not in aqueous solution",Export Statistical Item,31023000
310240,Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances,HS Code,31024000
31024000,Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances,Export Statistical Item,31024000
310250,Sodium nitrate,HS Code,31025000
31025000,Sodium nitrate,Export Statistical Item,31025000
310260,Double salts and mixtures of calcium nitrate and ammonium nitrate,HS Code,31026000
31026000,Double salts and mixtures of calcium nitrate and ammonium nitrate,Export Statistical Item,31026000
310280,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution,HS Code,31028000
31028000,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution,Export Statistical Item,31028000
310290,"Other, including mixtures not specified in the foregoing subheadings",HS Code,31029020
31029020,"Other, including mixtures not specified in the foregoing subheadings",Export Statistical Item,31029020
3103,"MINERAL OR CHEMICAL FERTILISERS, PHOSPHATIC:",Heading,31031000
3103,"MINERAL OR CHEMICAL FERTILISERS, PHOSPHATIC:",Heading,31039020
310310,Superphosphates,HS Code,31031000
31031000,Superphosphates,Export Statistical Item,31031000
310390,Other,HS Code,31039020
31039020,Other,Export Statistical Item,31039020
3104,"MINERAL OR CHEMICAL FERTILISERS, POTASSIC:",Heading,31042000
3104,"MINERAL OR CHEMICAL FERTILISERS, POTASSIC:",Heading,31043000
3104,"MINERAL OR CHEMICAL FERTILISERS, POTASSIC:",Heading,31049096
310420,Potassium chloride,HS Code,31042000
31042000,Potassium chloride,Export Statistical Item,31042000
310430,Potassium sulphate,HS Code,31043000
31043000,Potassium sulphate,Export Statistical Item,31043000
310490,Other,HS Code,31049096
31049096,Other,Export Statistical Item,31049096
3105,"MINERAL OR CHEMICAL FERTILISERS CONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN, PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS; GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG:",Heading,31051000
3105,"MINERAL OR CHEMICAL FERTILISERS CONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN, PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS; GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG:",Heading,31052000
3105,"MINERAL OR CHEMICAL FERTILISERS CONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN, PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS; GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG:",Heading,31053000
3105,"MINERAL OR CHEMICAL FERTILISERS CONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN, PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS; GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG:",Heading,31054000
3105,"MINERAL OR CHEMICAL FERTILISERS CONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN, PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS; GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG:",Heading,31055100
3105,"MINERAL OR CHEMICAL FERTILISERS CONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN, PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS; GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG:",Heading,31055900
3105,"MINERAL OR CHEMICAL FERTILISERS CONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN, PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS; GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG:",Heading,31056000
3105,"MINERAL OR CHEMICAL FERTILISERS CONTAINING TWO OR THREE OF THE FERTILISING ELEMENTS NITROGEN, PHOSPHORUS AND POTASSIUM; OTHER FERTILISERS; GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT NOT EXCEEDING 10 KG:",Heading,31059000
310510,Goods of this Chapter in tablets or similar forms or in packages of a gross weight not exceeding 10 kg,HS Code,31051000
31051000,Goods of this Chapter in tablets or similar forms or in packages of a gross weight not exceeding 10 kg,Export Statistical Item,31051000
310520,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus and potassium",HS Code,31052000
31052000,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus and potassium",Export Statistical Item,31052000
310530,Diammonium hydrogenorthophosphate (diammonium phosphate),HS Code,31053000
31053000,Diammonium hydrogenorthophosphate (diammonium phosphate),Export Statistical Item,31053000
310540,Ammonium dihydrogenorthophosphate (monoammonium phosphate) and mixtures thereof with diammonium hydrogenorthophosphate (diammonium phosphate),HS Code,31054000
31054000,Ammonium dihydrogenorthophosphate (monoammonium phosphate) and mixtures thereof with diammonium hydrogenorthophosphate (diammonium phosphate),Export Statistical Item,31054000
31055,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus:,HS Code,31055100
31055,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus:,HS Code,31055900
310551,Containing nitrates and phosphates,HS Code,31055100
31055100,Containing nitrates and phosphates,Export Statistical Item,31055100
310559,Other,HS Code,31055900
31055900,Other,Export Statistical Item,31055900
310560,Mineral or chemical fertilisers containing the two fertilising elements phosphorus and potassium,HS Code,31056000
31056000,Mineral or chemical fertilisers containing the two fertilising elements phosphorus and potassium,Export Statistical Item,31056000
310590,Other,HS Code,31059000
31059000,Other,Export Statistical Item,31059000
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32011000
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32012000
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32019010
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32021000
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32029000
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32030000
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32041100
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32041200
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32041300
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32041400
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32041500
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32041600
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32041700
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32041900
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32042000
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32049000
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32050000
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32061100
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32061900
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32062000
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32064100
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32064200
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32064930
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32065001
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32071000
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32072000
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32073000
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32074000
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINT AND VARNISHES; PUTTY AND OTHER MASTICS; INKS",Chapter,32081000
