country_iso2,country_iso3,country_name,region
US,USA,United States,Americas
CA,CAN,Canada,Americas
MX,MEX,Mexico,Americas
GB,GBR,United Kingdom,Europe
FR,FRA,France,Europe
DE,DEU,Germany,Europe
NL,NLD,Netherlands,Europe
ES,ESP,Spain,Europe
IT,ITA,Italy,Europe
JP,JPN,Japan,Asia
CN,CHN,China,Asia
KR,KOR,Korea Republic of,Asia
IN,IND,India,Asia
AU,AUS,Australia,Oceania
BR,BRA,Brazil,Americas
ZZ,UNKNOWN,Unknown or Not Provided,Unknown
