alias_value,country_iso3
United States of America,USA
U.S.A.,USA
USA,USA
840,USA
U.K.,GBR
Great Britain,GBR
England,GBR
Scotland,GBR
826,GBR
Deutschland,DEU
276,DEU
Holland,NLD
528,NLD
Nippon,JPN
392,JPN
South Korea,KOR
410,KOR
